Bohol,Alburquerque,Bahi,928
Bohol,Alburquerque,Basacdacu,793
Bohol,Alburquerque,Cantiguib,585
Bohol,Alburquerque,Dangay,769
Bohol,Alburquerque,East Poblacion,2046
Bohol,Alburquerque,Ponong,1225
Bohol,Alburquerque,San Agustin,552
Bohol,Alburquerque,Santa Filomena,914
Bohol,Alburquerque,Tagbuane,867
Bohol,Alburquerque,Toril,746
Bohol,Alburquerque,West Poblacion,1115
Bohol,Alicia,Cabatang,861
Bohol,Alicia,Cagongcagong,440
Bohol,Alicia,Cambaol,1216
Bohol,Alicia,Cayacay,1897
Bohol,Alicia,Del Monte,834
Bohol,Alicia,Katipunan,2317
Bohol,Alicia,La Hacienda,3758
Bohol,Alicia,Mahayag,681
Bohol,Alicia,Napo,1295
Bohol,Alicia,Pagahat,747
Bohol,Alicia,Poblacion (Calingganay),4214
Bohol,Alicia,Progreso,1031
Bohol,Alicia,Putlongcam,1698
Bohol,Alicia,Sudlon (Omhor),656
Bohol,Alicia,Untaga,1872
Bohol,Anda,Almaria,370
Bohol,Anda,Bacong,2323
Bohol,Anda,Badiang,1281
Bohol,Anda,Buenasuerte,321
Bohol,Anda,Candabong,2193
Bohol,Anda,Casica,464
Bohol,Anda,Katipunan,467
Bohol,Anda,Linawan,918
Bohol,Anda,Lundag,980
Bohol,Anda,Poblacion,1312
Bohol,Anda,Santa Cruz,1073
Bohol,Anda,Suba,1102
Bohol,Anda,Talisay,936
Bohol,Anda,Tanod,421
Bohol,Anda,Tawid,789
Bohol,Anda,Virgen,1512
Bohol,Antequera,Angilan,947
Bohol,Antequera,Bantolinao,1274
Bohol,Antequera,Bicahan,766
Bohol,Antequera,Bitaugan,622
Bohol,Antequera,Bungahan,832
Bohol,Antequera,Canlaas,650
Bohol,Antequera,Cansibuan,569
Bohol,Antequera,Can-Omay,543
Bohol,Antequera,Celing,684
Bohol,Antequera,Danao,473
Bohol,Antequera,Danicop,659
Bohol,Antequera,Mag-Aso,407
