 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Alangilan ,1768
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Alijis ,344
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Banago ,4116
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 1 (Pob.) ,536
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 10 (Pob.) ,464
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 11 (Pob.) ,16
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 12 (Pob.) ,156
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 13 (Pob.) ,396
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 14 (Pob.) ,440
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 16 (Pob.) ,680
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 17 (Pob.) ,128
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 18 (Pob.) ,0
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 19 (Pob.) ,64
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 2 (Pob.) ,692
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 23 (Pob.) ,20
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 26 (Pob.) ,156
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 27 (Pob.) ,252
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 28 (Pob.) ,164
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 29 (Pob.) ,136
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 3 (Pob.) ,328
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 30 (Pob.) ,116
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 31 (Pob.) ,0
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 32 (Pob.) ,0
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 33 (Pob.) ,32
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 34 (Pob.) ,84
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 35 (Pob.) ,400
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 36 (Pob.) ,52
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 37 (Pob.) ,8
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 38 (Pob.) ,32
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 39 (Pob.) ,324
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 4 (Pob.) ,32
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 40 (Pob.) ,264
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 6 (Pob.) ,392
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 7 (Pob.) ,228
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 8 (Pob.) ,300
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Barangay 9 (Pob.) ,0
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Bata ,900
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Cabug ,860
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Estefania ,188
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Felisa ,1612
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Granada ,1756
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Handumanan ,1556
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Mandalagan ,856
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Mansilingan ,1692
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Montevista ,0
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Pahanocoy ,568
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Punta Taytay ,524
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Singcang-Airport ,1664
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Sum-Ag ,968
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Taculing ,1840
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Tangub ,1464
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Villamonte ,344
 NIR [Negros Island Region] , Negros Occidental , Bacolod City (Capital) , Vista Alegre ,1420
 NIR [Negros Island Region] , Negros Occidental , Bago City , Abuanan ,1772
 NIR [Negros Island Region] , Negros Occidental , Bago City , Alianza ,1068
 NIR [Negros Island Region] , Negros Occidental , Bago City , Atipuluan ,528
 NIR [Negros Island Region] , Negros Occidental , Bago City , Bacong-Montilla ,3640
 NIR [Negros Island Region] , Negros Occidental , Bago City , Bagroy ,632
 NIR [Negros Island Region] , Negros Occidental , Bago City , Balingasag ,1036
 NIR [Negros Island Region] , Negros Occidental , Bago City , Binubuhan ,2300
 NIR [Negros Island Region] , Negros Occidental , Bago City , Busay ,2264
 NIR [Negros Island Region] , Negros Occidental , Bago City , Calumangan ,1720
 NIR [Negros Island Region] , Negros Occidental , Bago City , Caridad ,1084
 NIR [Negros Island Region] , Negros Occidental , Bago City , Dulao ,2672
 NIR [Negros Island Region] , Negros Occidental , Bago City , Ilijan ,1416
 NIR [Negros Island Region] , Negros Occidental , Bago City , Jorge L. Araneta (Ma-Ao Central) ,2884
 NIR [Negros Island Region] , Negros Occidental , Bago City , Lag-Asan ,1764
 NIR [Negros Island Region] , Negros Occidental , Bago City , Ma-Ao Barrio ,5056
 NIR [Negros Island Region] , Negros Occidental , Bago City , Mailum ,3736
 NIR [Negros Island Region] , Negros Occidental , Bago City , Malingin ,2544
 NIR [Negros Island Region] , Negros Occidental , Bago City , Napoles ,2152
 NIR [Negros Island Region] , Negros Occidental , Bago City , Pacol ,1296
 NIR [Negros Island Region] , Negros Occidental , Bago City , Poblacion ,1292
 NIR [Negros Island Region] , Negros Occidental , Bago City , Sagasa ,1548
 NIR [Negros Island Region] , Negros Occidental , Bago City , Sampinit ,1288
 NIR [Negros Island Region] , Negros Occidental , Bago City , Tabunan ,1884
 NIR [Negros Island Region] , Negros Occidental , Bago City , Taloc ,3120
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Amontay ,1528
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Bagroy ,840
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Bi-Ao ,3940
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Canmoros (Pob.) ,1104
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Enclaro ,1152
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Marina (Pob.) ,632
 NIR [Negros Island Region] , Negros Occidental , Binalbagan , Paglaum (Pob.) ,288
